Company,about,rating,reviews,salaries,location,jobs,interviews
Cummins Generator Technologies,Industrial Machinery ,4.0,731,11,Pune +18 other locations,--,11
BMW Industries,Iron & Steel ,3.6,756,10,Kolkata +16 other locations,1,10
Mining Engineering Services,Metals & Mining ,3.6,587,33,Vadodara +15 other locations,--,33
Walter Bushnell,Pharma ,3.2,525,18,Gurgaon / Gurugram +50 other locations,--,18
Ziff Davis Performance Marketing,Marketing & Advertising ,3.6,781,4,Pune +3 other locations,--,4
AARGEE STAFFING SERVICES,Recruitment ,3.7,654,6,Mumbai +16 other locations,--,6
AWC Software,IT Services & Consulting ,3.8,1.4k,15,Noida +14 other locations,--,15
Chiripal Poly Films,Packaging ,4.1,1.1k,18,Ahmedabad +11 other locations,5,18
UGC Supply Chain Solutions,Logistics ,2.9,921,6,Pune +22 other locations,--,6
Ileads Auxiliary Services,BPO ,3.1,648,18,Dehradun +11 other locations,1,18
Verticurl,Coimbatore +6 other locations,3.2,2k,11,Coimbatore +6 other locations,--,11
Satyesh Brinechem,Chemicals ,3.1,829,29,Bhuj +12 other locations,1,29
Tricon Infra Buildtech pvt.Ltd,Engineering & Construction ,3.0,759,15,Pune +7 other locations,6,15
Cotecna Inspection India,Analytics & KPO ,3.6,771,9,Mumbai +34 other locations,5,9
Alp Consulting,Recruitment ,3.4,1.1k,22,Bangalore / Bengaluru +18 other locations,29,22
Chrysalis High,Bangalore / Bengaluru +2 other locations,4.1,655,17,Bangalore / Bengaluru +2 other locations,--,17
Placementindia.com,Recruitment ,4.9,5,4,New Delhi +2 other locations,6,4
Geo Chem Laboratories,Industrial Machinery ,3.7,645,12,Mumbai +21 other locations,1,12
Red FM 93.5,Broadcasting ,3.9,773,8,Bangalore / Bengaluru +51 other locations,--,8
Navitas Life Sciences,Clinical Research ,3.5,1.3k,15,Chennai +7 other locations,12,15
Spacewood,Furniture & Furnishing ,3.4,1.2k,11,Nagpur +20 other locations,7,11
Vishnu Chemicals,Chemicals ,4.0,840,20,Visakhapatnam +12 other locations,1,20
Rajan Technocast,Industrial Machinery ,4.8,166,10,Rajkot +18 other locations,2,10
BoAt,Consumer Electronics & Appliances ,4.2,1.3k,10,Mumbai +16 other locations,2,10
Navitas Life Sciences,Clinical Research ,3.5,1.3k,15,Chennai +7 other locations,12,15
Spacewood,Furniture & Furnishing ,3.4,1.2k,11,Nagpur +20 other locations,7,11
The Mission Hospital,Healthcare ,3.7,745,7,Durgapur +23 other locations,9,7
ARB Bearings,Auto Components ,3.6,797,10,New Delhi +19 other locations,--,10
John Crane Sealing Systems India,Industrial Machinery ,3.5,1.2k,21,Bangalore / Bengaluru +6 other locations,63,21
BetterPlace Safety Solutions,IT Services & Consulting ,3.5,1.3k,19,Bangalore / Bengaluru +11 other locations,7,19
Yashi Consulting Services,IT Services & Consulting ,3.3,288,11,Gurgaon / Gurugram +21 other locations,--,11
Kinetic Green Energy And Power Solutions,Power ,3.2,896,23,Pune +27 other locations,17,23
Shriram Fortune Solutions,Financial Services ,3.6,451,9,Gurgaon / Gurugram +96 other locations,--,9
Fleet Management,Ports & Shipping ,4.0,723,21,Mumbai +22 other locations,28,21
RateGain,IT Services & Consulting ,3.8,1.4k,23,Noida +6 other locations,34,23
HOLITECH INDIA,Electronics Manufacturing ,4.1,723,27,Greater Noida +12 other locations,--,27
Gensol Engineering,Power ,3.7,752,15,Ahmedabad +23 other locations,--,15
Bharat Institutions,Education & Training ,3.4,179,6,Hyderabad / Secunderabad +7 other locations,--,6
Vidya Mandir Classes,EdTech ,3.5,831,8,New Delhi +38 other locations,--,8
Tci Freight,Logistics ,4.1,767,13,Gurgaon / Gurugram +44 other locations,--,13
OneBanc Technologies,FinTech ,4.8,211,40,Gurgaon / Gurugram +2 other locations,2,40
Weatherford,Oil & Gas ,3.6,874,16,Mumbai +21 other locations,5,16
Qdigi Services,Recruitment ,3.2,562,12,Noida +43 other locations,1,12
Maxinfra,Real Estate ,4.1,726,16,Hyderabad / Secunderabad +26 other locations,--,16
Chitkara University,Chandigarh +8 other locations,4.0,680,17,Chandigarh +8 other locations,12,17
YouTube,Internet ,4.5,867,10,New Delhi +42 other locations,--,10
Development Consultants,IT Services & Consulting ,3.3,563,11,Kolkata +15 other locations,--,11
RAKS Pharma,Pharma ,4.3,763,10,Visakhapatnam +11 other locations,--,10
NOVO Medisciences,Pharma ,3.4,484,27,Mumbai +32 other locations,16,27
Sri Gopikrishna Infrastructure,Engineering & Construction ,4.0,498,7,Hyderabad / Secunderabad +43 other locations,--,7
Moreish Food,Food Processing ,3.1,517,21,Kolkata +25 other locations,4,21
Teachers Insurance and Annuity Association of America,Financial Services ,3.8,1.9k,6,Pune +4 other locations,--,6
Manipal Business Solutions,Gurgaon / Gurugram +56 other locations,3.6,747,14,Gurgaon / Gurugram +56 other locations,1,14
Vedika Credit Capital,NBFC ,3.5,548,4,Ranchi +51 other locations,3,4
Su-Kam Power Systems,Power ,3.4,482,5,Gurgaon / Gurugram +44 other locations,--,5
HEPL - A Cavinkare Group Company,Cuddalore +17 other locations,3.4,1k,28,Cuddalore +17 other locations,3,28
Supreme Treon,Auto Components ,3.9,861,13,Pune +26 other locations,--,13
SPRAY ENGINEERING DEVICES,Industrial Machinery ,4.3,752,14,Mohali +13 other locations,3,14
MMTC-PAMP,Metals & Mining ,3.7,797,14,Gurgaon / Gurugram +18 other locations,2,14
Ankura Hospital,Healthcare ,3.8,926,16,Hyderabad / Secunderabad +10 other locations,46,16
Biryani By Kilo,Hospitality ,4.2,708,6,Gurgaon / Gurugram +29 other locations,--,6
Emirates Flight Catering,Hospitality ,4.3,268,27,Dubai +12 other locations,--,27
Beri Udyog,Industrial Machinery ,3.8,788,17,Karnal +17 other locations,1,17
AISATS,Aviation ,3.4,396,11,New Delhi +10 other locations,--,11
HTL,Telecom ,3.6,1.2k,9,Chennai +10 other locations,3,9
Dunnhumby,Analytics & KPO ,3.8,1.7k,31,Gurgaon / Gurugram +5 other locations,25,31
LetsTransport,Logistics ,3.6,1k,20,Bangalore / Bengaluru +27 other locations,3,20
FAIRWAY ENTERPRISES,Leather ,3.9,886,15,Krishnagiri +9 other locations,--,15
Bilt Graphic Paper Products,Pulp & Paper ,3.7,761,13,Pune +11 other locations,6,13
AISATS,Aviation ,3.4,396,11,New Delhi +10 other locations,--,11
SITA,IT Services & Consulting ,3.9,1k,29,Gurgaon / Gurugram +29 other locations,28,29
Nahars Engineering India,Auto Components ,3.2,1k,15,Bangalore / Bengaluru +10 other locations,--,15
Qi Spine Clinic,Healthcare ,3.1,487,19,Mumbai +13 other locations,10,19
CallHealth,Healthcare ,3.6,788,4,Hyderabad / Secunderabad +17 other locations,--,4
OSI Digital,IT Services & Consulting ,3.6,2.1k,16,Hyderabad / Secunderabad +4 other locations,26,16
Carzonrent,Travel & Tourism ,3.3,632,3,New Delhi +15 other locations,--,3
Teleone,Internet ,3.6,701,11,New Delhi +20 other locations,--,11
CyberSWIFT Infotech,IT Services & Consulting ,3.1,453,10,Kolkata +10 other locations,2,10
Programmers.io,IT Services & Consulting ,4.0,949,30,Jaipur +3 other locations,21,30
Atidiv,IT Services & Consulting ,2.9,1.2k,21,Pune +2 other locations,6,21
Ajax Engineering,Engineering & Construction ,4.0,1.1k,7,Bangalore / Bengaluru +28 other locations,3,7
Busy Infotech,Software Product ,3.9,790,14,New Delhi +29 other locations,12,14
Amrita Vishwa Vidyapeetham,Education & Training ,3.7,1.1k,17,Coimbatore +16 other locations,199,17
UL Solutions,"Testing, Inspection and Certification (TIC) ",3.9,747,14,Bangalore / Bengaluru +9 other locations,13,14
Armstrong Robotics & Technologies Private Limited,Industrial Automation ,3.9,897,27,Nashik +13 other locations,3,27
Ebixcash World Money,FinTech ,3.6,858,16,Mumbai +38 other locations,11,16
Gujarat Narmada Valley Fertilizers & Chemicals,Agro Chemicals ,4.3,801,10,Bharuch +16 other locations,--,10
Jindal Worldwide,Fashion & Textile ,3.5,971,10,Ahmedabad +5 other locations,1,10
Prem Henna,Beauty & Personal Care ,3.4,544,4,Indore +52 other locations,--,4
Aneja Associates,Accounting & Auditing ,3.2,824,16,Mumbai +10 other locations,1,16
Bombay Dyeing,Fashion & Textile ,3.8,896,9,Mumbai +22 other locations,--,9
Anglo-Eastern Ship Management,Ports & Shipping ,4.1,547,17,Mumbai +15 other locations,2,17
TEOCO Software,IT Services & Consulting ,3.8,906,16,Kolkata +9 other locations,4,16
Mold-Tek Technologies,IT Services & Consulting ,3.5,906,12,Hyderabad / Secunderabad +12 other locations,11,12
Career Launcher,Education & Training ,3.7,982,7,New Delhi +42 other locations,8,7
Valueonshore Advisors,Management Consulting ,3.8,602,11,Gurgaon / Gurugram +5 other locations,18,11
John Deere Financial,NBFC ,4.3,570,14,Pune +57 other locations,--,14
Emami Frank Ross,Retail ,3.6,699,9,Kolkata +23 other locations,--,9
Keolis Hyderabad Metro,Urban Transport ,3.9,869,12,Hyderabad / Secunderabad +4 other locations,--,12
Magicrete Building Solutions,Building Material ,3.8,817,23,Surat +27 other locations,4,23
Wanbury,Pharma ,3.5,789,6,Mumbai +31 other locations,1,6
COWI,Engineering & Construction ,4.1,632,9,Gurgaon / Gurugram +4 other locations,3,9
ASP OL Media,Marketing & Advertising ,4.2,334,71,Pune +6 other locations,3,71
Innovalance Learning Systems,EdTech ,3.2,348,35,New Delhi +11 other locations,--,35
ASSA ABLOY,Real Estate ,3.5,973,22,Chennai +33 other locations,2,22
Brainium Information Technologies,IT Services & Consulting ,3.8,502,9,Kolkata +1 other locations,2,9
Innovalance Learning Systems,EdTech ,3.2,348,35,New Delhi +11 other locations,--,35
Rubamin,Chemicals ,4.0,998,18,Vadodara +6 other locations,4,18
C DOT,Telecom ,3.7,1.2k,34,New Delhi +14 other locations,--,34
Rohan Motors,Automobile ,3.6,718,13,New Delhi +19 other locations,8,13
Oasis Fertility,Healthcare ,3.9,582,17,Hyderabad / Secunderabad +20 other locations,13,17
Texspin Bearings,Auto Components ,4.1,1.1k,17,Ahmedabad +19 other locations,--,17
Aarti Pharmalabs,Pharma ,3.7,1.1k,20,Mumbai +14 other locations,2,20
Chaitanya Projects Consultancy,Financial Services ,3.9,601,16,Noida +51 other locations,1,16
Continental Hospitals,Healthcare ,3.9,820,14,Hyderabad / Secunderabad +3 other locations,12,14
Taggd,Recruitment ,3.2,670,12,Gurgaon / Gurugram +16 other locations,15,12
Garware Hi-Tech Films,Packaging ,4.1,1k,7,Aurangabad +9 other locations,--,7
Zinnov Management Consulting,Management Consulting ,3.2,1.5k,26,Bangalore / Bengaluru +13 other locations,44,26
NATIONAL SKILL DEVELOPMENT CORPORATION,Non-Profit ,3.5,915,24,New Delhi +50 other locations,2,24
Moody's,Analytics & KPO ,3.9,1.7k,28,Bangalore / Bengaluru +7 other locations,--,28
M Swasth Solutions,Gurgaon / Gurugram +40 other locations,3.4,413,16,Gurgaon / Gurugram +40 other locations,--,16
Shopclues,Internet ,3.3,1.1k,9,Gurgaon / Gurugram +7 other locations,57,9
Analytix Business Solutions,Analytics & KPO ,3.4,1.1k,26,Ahmedabad +8 other locations,15,26
CRB Tech Solution,EdTech ,3.7,418,12,Pune +8 other locations,--,12
Bhima Gold,Jewellery ,3.9,790,17,Bangalore / Bengaluru +32 other locations,6,17
Hyundai Motor India Engineering,IT Services & Consulting ,3.8,1.1k,12,Hyderabad / Secunderabad +9 other locations,--,12
Kopran,Pharma ,3.7,1.2k,12,Mumbai +17 other locations,2,12
Soothe Healthcare,Healthcare ,3.3,833,17,Noida +42 other locations,--,17
Relevantz Technology Services,IT Services & Consulting ,3.7,1.4k,31,Chennai +5 other locations,27,31
Wardwizard Innovations & Mobility,Automobile ,3.4,665,10,Vadodara +50 other locations,20,10
Alghanim International,Engineering & Construction ,4.2,574,7,Kuwait City +12 other locations,1,7
Turito,EdTech ,3.0,852,25,Hyderabad / Secunderabad +7 other locations,--,25
Orthosquare Dental Clinic,Healthcare ,4.6,83,16,Mumbai +26 other locations,--,16
Crimson Interactive,Content Development ,2.5,1.1k,20,Mumbai +5 other locations,6,20
S.c Johnson Products,FMCG ,4.1,567,2,Gurgaon / Gurugram +52 other locations,--,2
Bodal Chemicals,Chemicals ,3.5,1.2k,18,Vadodara +17 other locations,7,18
IFB Automotive,Auto Components ,3.8,817,7,Bangalore / Bengaluru +19 other locations,--,7
Toppan Merrill,Financial Services ,3.8,1.4k,24,Chennai +2 other locations,12,24
ZingHR,IT Services & Consulting ,3.1,1.2k,22,Mumbai +9 other locations,--,22
Mazars,Accounting & Auditing ,2.9,1.4k,21,Gurgaon / Gurugram +14 other locations,--,21
Decimal Technologies,Software Product ,2.8,1.7k,34,Gurgaon / Gurugram +10 other locations,--,34
TP Southern Odisha Distribution,Berhampur +23 other locations,3.5,656,20,Berhampur +23 other locations,--,20
Orange Retail Finance,Financial Services ,3.8,620,6,Chennai +56 other locations,1,6
Excellon Software,Software Product ,4.3,1.1k,15,Pune +4 other locations,9,15
Izmo,IT Services & Consulting ,3.0,820,17,Bangalore / Bengaluru +5 other locations,18,17
Special Technical Services,Oil & Gas ,4.1,590,11,Muscat +16 other locations,--,11
Sahajanand Laser Technology,Industrial Machinery ,3.2,831,19,Gandhinagar +23 other locations,18,19
Praxis home Retail,Retail ,4.2,812,7,Mumbai +29 other locations,4,7
Mitsubishi Heavy Industries,Industrial Machinery ,4.2,807,4,Mysuru / Mysore +31 other locations,--,4
DelaPlex Software,IT Services & Consulting ,4.1,981,29,Nagpur +6 other locations,28,29
Tbea Energy,Electrical Equipment ,3.9,882,14,Vadodara +18 other locations,8,14
Vishay Components,Electronics Manufacturing ,4.2,765,13,Pune +7 other locations,5,13
Ayesa,IT Services & Consulting ,4.0,600,14,New Delhi +12 other locations,--,14
KisanKraft Machine Tools,Industrial Machinery ,3.4,716,12,Bangalore / Bengaluru +20 other locations,3,12
Alpha Design Technologies,Defence & Aerospace ,3.5,1.2k,15,Bangalore / Bengaluru +13 other locations,--,15
Pathfinder Business Analysis,Management Consulting ,3.4,1.2k,14,Coimbatore +14 other locations,12,14
AYM Syntex,Fashion & Textile ,3.5,832,18,Silvassa / Dadra & Nagar Haveli +9 other locations,3,18
Bikaji Foods,FMCG ,4.1,607,14,Bikaner +49 other locations,11,14
Consilio,Legal ,3.7,1.3k,25,Bangalore / Bengaluru +7 other locations,10,25
Tractor Junction,Internet ,4.1,436,16,Alwar +27 other locations,4,16
AGROCEL INDUSTRIES,Chemicals ,4.4,651,16,Bhuj +24 other locations,3,16
Toshiba Water Solutions,Waste Management ,3.8,876,20,Gurgaon / Gurugram +20 other locations,--,20
Eternis Fine Chemicals,Chemicals ,3.4,1k,18,Pune +8 other locations,--,18
CBSI,Recruitment ,3.3,1.1k,10,Bangalore / Bengaluru +14 other locations,--,10
Consilio,Legal ,3.7,1.3k,25,Bangalore / Bengaluru +7 other locations,10,25
Bikaji Foods,FMCG ,4.1,607,14,Bikaner +49 other locations,11,14
ZKTeco Biometrics,Law Enforcement & Security ,3.0,1.2k,26,Bangalore / Bengaluru +11 other locations,--,26
Freedom Employability Academy,Education & Training ,4.1,491,25,New Delhi +43 other locations,1,25
Hgs Services,Analytics & KPO ,3.8,649,55,Bangalore / Bengaluru +20 other locations,--,55
Country Inns & Suites,Hospitality ,4.0,627,6,New Delhi +25 other locations,--,6
CONTUS TECH,IT Services & Consulting ,4.3,865,57,Chennai +3 other locations,2,57
Fulcrum Digital,IT Services & Consulting ,3.5,1.3k,33,Pune +5 other locations,3,33
Ecolab,Waste Management ,3.5,1.2k,23,Pune +14 other locations,55,23
Data Patterns,Defence & Aerospace ,3.4,1.2k,54,Chennai +11 other locations,13,54
Malayala Manorama,Printing & Publishing ,3.7,1k,13,Kottayam +23 other locations,7,13
Vinculum Solutions,IT Services & Consulting ,2.4,1.4k,14,Noida +5 other locations,10,14
InSync Analytics,Analytics & KPO ,2.5,1.3k,37,Mumbai +5 other locations,2,37
Kh Exports,Import & Export ,3.9,830,9,Chennai +8 other locations,--,9
Upstox,FinTech ,3.5,1.4k,44,Mumbai +19 other locations,--,44
Dr Oetker,Food Processing ,4.2,810,13,New Delhi +32 other locations,--,13
Marsh,Insurance ,4.3,434,19,Mumbai +10 other locations,--,19
ACT Plast Paints,Chemicals ,3.8,776,10,Chennai +13 other locations,--,10
Centrient Pharmaceuticals,Pharma ,3.8,1.1k,16,Chandigarh +16 other locations,3,16
TNT Express,Logistics ,4.0,398,6,Mumbai +33 other locations,--,6
Ecolab,Waste Management ,3.5,1.2k,23,Pune +14 other locations,55,23
Infiiloom,Fashion & Textile ,3.2,809,16,Pune +15 other locations,2,16
Stashfin,FinTech ,4.0,758,13,New Delhi +18 other locations,1,13
Kerakoll,Building Material ,4.2,674,16,Vadodara +46 other locations,--,16
Sendan International Co,Engineering & Construction ,2.1,506,15,Al Jubail +20 other locations,--,15
Rossari Biotech,Chemicals ,3.9,1.1k,10,Mumbai +24 other locations,1,10
SAMCO Securities,Financial Services ,3.9,875,86,Mumbai +12 other locations,--,86
ATS Homekraft,Real Estate ,4.1,693,22,Noida +7 other locations,7,22
Elofic Industries,Auto Components ,4.0,774,11,Faridabad +17 other locations,--,11
SBL,IT Services & Consulting ,3.7,819,6,New Delhi +30 other locations,--,6
NGK Spark Plugs,Auto Components ,4.1,725,23,Bawal +19 other locations,--,23
ITCube Solutions,IT Services & Consulting ,3.0,985,15,Pune +9 other locations,4,15
Bsr Infratech India,Engineering & Construction ,3.8,856,15,Bangalore / Bengaluru +12 other locations,--,15
Pradan,Non-Profit ,3.8,448,18,New Delhi +58 other locations,1,18
MyCaptain,Internet ,3.7,520,49,Bangalore / Bengaluru +9 other locations,--,49
BPO+,BPO ,4.3,1.8k,44,Chennai +46 other locations,1,44
Lauren Information Technologies,IT Services & Consulting ,3.6,1.3k,9,Mumbai +17 other locations,2,9
Govt. Medical College,Education & Training ,4.1,831,13,Chandigarh +71 other locations,--,13
Tps Infrastructure,Industrial Machinery ,4.2,722,14,Bhiwadi +15 other locations,--,14
Nineleaps Technology Solutions,IT Services & Consulting ,4.1,1.3k,34,Bangalore / Bengaluru +3 other locations,--,34
DAZN,Media & Entertainment ,2.5,1.5k,38,Hyderabad / Secunderabad +5 other locations,68,38
Aziro (formerly MSys Technoloigies),Software Product ,3.8,1.2k,56,Chennai +4 other locations,104,56
Anlage Infotech,IT Services & Consulting ,2.8,758,18,Bangalore / Bengaluru +15 other locations,10,18
Indo National Limited (Nippo),FMCG ,4.1,663,10,Chennai +55 other locations,5,10
B2x Service Solutions,BPO ,3.9,476,4,Mumbai +32 other locations,--,4
Tokai Imperial Rubber India,Industrial Machinery ,4.0,805,14,Faridabad +11 other locations,--,14
LNV Technology,Industrial Machinery ,3.7,620,14,Chennai +30 other locations,2,14
Mol Information Processing Services India,IT Services & Consulting ,3.6,814,8,Kolkata +6 other locations,--,8
Parijat Industries (India),Chemicals ,4.0,729,9,New Delhi +37 other locations,1,9
Mordor Intelligence,Analytics & KPO ,3.0,964,20,Hyderabad / Secunderabad +3 other locations,1,20
Shanthi Gears,Auto Components ,3.4,1.2k,19,Coimbatore +13 other locations,--,19
Quest Diagnostics,Healthcare ,4.4,888,11,Hyderabad / Secunderabad +11 other locations,53,11
Graviti Pharmaceuticals,Pharma ,3.2,886,6,Hyderabad / Secunderabad +5 other locations,23,6
Ashv Finance,Mumbai +37 other locations,4.1,732,10,Mumbai +37 other locations,--,10
SSEM,Industrial Machinery ,3.3,345,10,Riyadh +18 other locations,--,10
Rajesh Motors,Automobile ,3.8,629,6,Jaipur +27 other locations,--,6
Hi Tech Informatics,IT Services & Consulting ,3.5,721,12,Mumbai +48 other locations,--,12
Raheja Developers,Real Estate ,2.7,790,6,Gurgaon / Gurugram +6 other locations,1,6
Radhakrishna Foodland,Logistics ,3.8,756,9,Mumbai +31 other locations,--,9
Andhra Pradesh State Skill Development Corporation,Non-Profit ,3.9,554,5,Vijayawada +30 other locations,--,5
LNV Technology,Industrial Machinery ,3.7,620,14,Chennai +30 other locations,2,14
Mol Information Processing Services India,IT Services & Consulting ,3.6,814,8,Kolkata +6 other locations,--,8
Raheja Developers,Real Estate ,2.7,790,6,Gurgaon / Gurugram +6 other locations,1,6
Radhakrishna Foodland,Logistics ,3.8,756,9,Mumbai +31 other locations,--,9
Rajesh Motors,Automobile ,3.8,629,6,Jaipur +27 other locations,--,6
Hi Tech Informatics,IT Services & Consulting ,3.5,721,12,Mumbai +48 other locations,--,12
Vnr Seeds,Agriculture ,4.0,689,15,Raipur +50 other locations,17,15
OptimHire,Internet ,3.5,806,27,Hyderabad / Secunderabad +6 other locations,--,27
MaRS Planning & Engineering Services,Engineering & Construction ,4.0,764,8,Ahmedabad +62 other locations,--,8
Pran Beverages India,Beverage ,3.7,685,14,Kolkata +52 other locations,--,14
Northern Arc Capital,NBFC ,3.7,939,16,Chennai +50 other locations,5,16
MSC Technology India,IT Services & Consulting ,4.0,1.5k,36,Chennai +7 other locations,18,36
Abante Integrated Management Services,Management Consulting ,4.2,644,16,Gurgaon / Gurugram +4 other locations,16,16
SAS,IT Services & Consulting ,4.1,1.7k,21,Pune +21 other locations,51,21
Network Intelligence India,Law Enforcement & Security ,3.2,1.3k,19,Mumbai +8 other locations,10,19
ECOS (I) MOBILITY & HOSPITALITY,Sports & Recreation ,4.0,438,6,New Delhi +12 other locations,--,6
GEETANJALI HOMESTATE,Real Estate ,3.7,272,16,Gurgaon / Gurugram +5 other locations,--,16
Apex Hospital,Healthcare ,4.0,820,12,Jaipur +34 other locations,24,12
Travel Boutique Online,Travel & Tourism ,3.3,1.2k,27,Gurgaon / Gurugram +15 other locations,4,27
Mark's,Telecom ,4.1,27,9,Gurgaon / Gurugram +34 other locations,5,9
Peps Industries,Furniture & Furnishing ,4.0,691,13,Coimbatore +48 other locations,--,13
Victora Industries,Auto Components ,3.7,734,12,Faridabad +10 other locations,--,12
Skandhanshi Infra Projects,Real Estate ,4.3,882,15,Kurnool +9 other locations,6,15
IIMT Group of Colleges,Education & Training ,4.2,552,28,Greater Noida +15 other locations,19,28
DigiCall Teleservices,Telecom ,4.0,330,2,Noida +13 other locations,--,2
Arihant Publications,Printing & Publishing ,3.5,506,23,New Delhi +21 other locations,1,23
Sagitec Solutions,IT Services & Consulting ,3.3,1.6k,23,Pune +5 other locations,3,23
Siemens PLM Software,Industrial Automation ,4.0,1.7k,12,Pune +12 other locations,--,12
Parker Hannifin,Industrial Machinery ,3.7,984,6,Chennai +14 other locations,4,6
Precision Camshafts,Auto Components ,3.2,756,4,Solapur +5 other locations,--,4
Codeyoung,Bangalore / Bengaluru +6 other locations,3.6,654,56,Bangalore / Bengaluru +6 other locations,4,56
TRIGO Group,Auto Components ,2.8,707,14,Chennai +26 other locations,--,14
Praxair,Chemicals ,4.1,675,7,Bangalore / Bengaluru +28 other locations,--,7
SmartStream Technologies,IT Services & Consulting ,3.5,1.6k,16,Bangalore / Bengaluru +6 other locations,8,16
Petronas Lubricants,Petrochemicals ,3.2,677,19,Mumbai +34 other locations,4,19
REI Systems,IT Services & Consulting ,3.9,454,34,Pune,3,34
Milan Laboratories India Private Limited,Pharma ,3.8,936,9,Mumbai +17 other locations,3,9
Prologic Web Solutions,IT Services & Consulting ,4.0,388,37,Noida +20 other locations,4,37
Quest Global Technologies,IT Services & Consulting ,3.5,1.7k,26,Bangalore / Bengaluru +16 other locations,16,26
First Citizens India,Financial Services ,3.9,1.6k,20,Bangalore / Bengaluru +3 other locations,52,20
Prologic Web Solutions,IT Services & Consulting ,4.0,388,37,Noida +20 other locations,4,37
First Citizens India,Financial Services ,3.9,1.6k,20,Bangalore / Bengaluru +3 other locations,52,20
Quest Global Technologies,IT Services & Consulting ,3.5,1.7k,26,Bangalore / Bengaluru +16 other locations,16,26
Victora Industries,Auto Components ,3.7,734,12,Faridabad +10 other locations,--,12
ReGen Powertech,Power ,3.7,432,10,Chennai +21 other locations,--,10
Futaba Industrial Gujarat,Auto Components ,4.4,766,11,Ahmedabad +11 other locations,--,11
Ways2excel,EdTech ,4.4,61,4,Kolkata +1 other locations,--,4
Canvera,Printing & Publishing ,3.7,633,5,Bangalore / Bengaluru +28 other locations,--,5
Shaw Toyota,Automobile ,4.9,138,19,Pune +3 other locations,--,19
HIVELOOP LOGISTICS,Bangalore / Bengaluru +68 other locations,4.2,412,4,Bangalore / Bengaluru +68 other locations,--,4
Bharat Broadband Network,Telecom ,3.8,780,9,New Delhi +70 other locations,--,9
Vivifi India Finance,Hyderabad / Secunderabad +6 other locations,3.5,774,24,Hyderabad / Secunderabad +6 other locations,--,24
Caretel Infotech,Analytics & KPO ,3.5,442,10,New Delhi +10 other locations,--,10
TechStar Group,IT Services & Consulting ,4.3,944,19,Hyderabad / Secunderabad +9 other locations,4,19
Daffodil Software,IT Services & Consulting ,3.2,1.5k,29,Gurgaon / Gurugram +6 other locations,1,29
Modicare,Beauty & Personal Care ,4.1,757,18,New Delhi +46 other locations,1,18
ZunRoof Tech,Power ,3.8,458,40,Gurgaon / Gurugram +21 other locations,22,40
Sakura Autoparts,Auto Components ,3.7,821,11,Chennai +9 other locations,--,11
iLink Digital,IT Services & Consulting ,2.9,1.7k,22,Chennai +8 other locations,24,22
Kama Ayurveda,Beauty & Personal Care ,3.9,761,19,New Delhi +30 other locations,6,19
Sakura Autoparts,Auto Components ,3.7,821,11,Chennai +9 other locations,--,11
PES Engineers,Engineering & Construction ,4.2,700,11,Hyderabad / Secunderabad +35 other locations,1,11
iLink Digital,IT Services & Consulting ,2.9,1.7k,22,Chennai +8 other locations,24,22
InvestoXpert,Real Estate ,4.4,418,127,Noida +12 other locations,6,127
Kama Ayurveda,Beauty & Personal Care ,3.9,761,19,New Delhi +30 other locations,6,19
Mercurius Advisory Services,Accounting & Auditing ,4.1,522,29,New Delhi +1 other locations,20,29
Reserve Bank Information Technology,IT Services & Consulting ,3.3,1.8k,49,Mumbai +7 other locations,7,49
ORISSA METALIKS,Industrial Machinery ,3.8,814,10,Kharagpur +10 other locations,--,10
Wings Biotech,Pharma ,3.1,485,9,New Delhi +33 other locations,2,9
UFO Moviez,Media & Entertainment ,2.9,875,9,Mumbai +31 other locations,9,9
Fibe,FinTech ,3.6,1.2k,16,Pune +15 other locations,24,16
Wingreens Farms,Power ,4.0,821,10,Gurgaon / Gurugram +21 other locations,--,10
Raksha TPA,Insurance ,4.1,758,6,Faridabad +22 other locations,--,6
Groupe Lactalis,Chennai +39 other locations,3.5,776,10,Chennai +39 other locations,129,10
Embio,Pharma ,3.8,869,5,Mahad +10 other locations,3,5
Avis,Internet ,3.8,648,8,Gurgaon / Gurugram +19 other locations,--,8
Josh Talks,Broadcasting ,4.2,371,27,Gurgaon / Gurugram +16 other locations,--,27
Sigma Freudenberg NOK,Auto Components ,4.1,925,10,Chennai +17 other locations,--,10
Exeltis,Pharma ,4.0,520,14,Mumbai +37 other locations,1,14
Horiba India,New Delhi +19 other locations,3.5,1.1k,9,New Delhi +19 other locations,--,9
Pacific Development Corporation Limited (Pacific Group),Real Estate ,3.4,1k,18,New Delhi +19 other locations,6,18
Tata Lockheed Martin Aerostructures,Defence & Aerospace ,4.0,951,16,Hyderabad / Secunderabad +7 other locations,--,16
SMC Power Generation,Iron & Steel ,3.7,766,13,Jharsuguda +11 other locations,--,13
Symphoni HR,Recruitment ,4.0,334,25,Mumbai +1 other locations,--,25
Avaali Solutions,IT Services & Consulting ,4.4,394,46,Bangalore / Bengaluru,13,46
UST BlueConch Technologies,Software Product ,3.6,1.3k,20,Pune +6 other locations,--,20
Keertana Finserv,NBFC ,3.4,454,24,Hyderabad / Secunderabad +56 other locations,11,24
Rama University,Kanpur +12 other locations,3.4,541,14,Kanpur +12 other locations,180,14
