Company,about,rating,reviews,salaries,location,jobs,interviews
CBRE,Real Estate ,4.1,18.7k,342,Hyderabad / Secunderabad +91 other locations,24,342
Schneider Electric,Industrial Automation ,4.2,24.4k,449,Bangalore / Bengaluru +119 other locations,23,449
Persistent Systems,IT Services & Consulting ,3.6,44.8k,703,Pune +41 other locations,259,703
State Bank of India,Banking ,3.8,11.5k,308,Mumbai +618 other locations,15,308
Atos,IT Services & Consulting ,3.8,34.2k,405,Pune +49 other locations,91,405
vivo,Consumer Electronics & Appliances ,4.1,13k,235,Noida +413 other locations,11,235
Ecom Express,Logistics ,4.0,9.6k,263,Gurgaon / Gurugram +775 other locations,--,263
KEC International,Engineering & Construction ,4.0,13.2k,417,Mumbai +314 other locations,9,417
Eviden,IT Services & Consulting ,3.6,27.8k,316,Pune +39 other locations,8,316
Amdocs,Software Product ,3.6,37.2k,559,Pune +23 other locations,11,559
JBM Group,Auto Components ,3.9,14k,345,Gurgaon / Gurugram +117 other locations,41,345
Varun Beverages,Beverage ,4.0,11.9k,344,New Delhi +379 other locations,30,344
Nagarro,IT Services & Consulting ,3.9,32.3k,829,Gurgaon / Gurugram +49 other locations,923,829
ITC Infotech,IT Services & Consulting ,3.7,29.6k,411,Bangalore / Bengaluru +68 other locations,76,411
Bosch,Auto Components ,4.1,20.8k,376,Bangalore / Bengaluru +131 other locations,--,376
Home Credit Finance,NBFC ,4.0,9.4k,147,Gurgaon / Gurugram +136 other locations,90,147
Randstad,Recruitment ,3.7,16.5k,326,Hyderabad / Secunderabad +352 other locations,9,326
EY Global Delivery Services ( EY GDS),IT Services & Consulting ,3.5,49k,878,Bangalore / Bengaluru +56 other locations,10,878
Utkarsh Small Finance Bank,Banking ,3.6,10.9k,299,Varanasi +409 other locations,23,299
Hewlett Packard Enterprise,IT Services & Consulting ,4.1,27.1k,266,Bangalore / Bengaluru +104 other locations,237,266
Mahindra Logistics,Logistics ,3.7,13k,251,Mumbai +233 other locations,--,251
Aditya Birla Fashion and Retail,Fashion & Textile ,4.1,13.1k,265,Bangalore / Bengaluru +291 other locations,77,265
L&T Finance,NBFC ,3.9,11.8k,216,Mumbai +634 other locations,--,216
Dell,Consumer Electronics & Appliances ,3.8,28.7k,423,Bangalore / Bengaluru +117 other locations,24,423
Havells,Electrical Equipment ,3.9,15k,286,Noida +261 other locations,33,286
CARS24,Internet ,3.4,15.5k,405,Gurgaon / Gurugram +172 other locations,111,405
OPPO,Consumer Electronics & Appliances ,3.9,11.8k,248,Greater Noida +410 other locations,6,248
Intas Pharmaceuticals,Pharma ,4.1,17.2k,259,Ahmedabad +148 other locations,58,259
R1 RCM,BPO ,3.8,21.4k,356,New Delhi +46 other locations,178,356
Tata AIA Life Insurance,Insurance ,3.9,14.1k,249,Mumbai +441 other locations,653,249
Hyundai Motor India Limited,Automobile ,4.1,13.9k,321,Chennai +287 other locations,4,321
Deutsche Bank,Banking ,3.8,36.1k,418,Pune +42 other locations,424,418
Hetero,Pharma ,3.9,15.1k,300,Hyderabad / Secunderabad +68 other locations,142,300
Motilal Oswal Financial Services,Financial Services ,3.7,13k,541,Mumbai +168 other locations,41,541
Berger Paints,Chemicals ,3.7,9.9k,424,Kolkata +354 other locations,128,424
Team Lease,Recruitment ,3.9,16.1k,248,Bangalore / Bengaluru +400 other locations,2,248
VE Commercial Vehicles,Automobile ,3.9,14.2k,283,Indore +179 other locations,5,283
Lenskart,Internet ,3.3,12.9k,442,New Delhi +239 other locations,121,442
Thermax Limited,Industrial Machinery ,4.2,13.1k,336,Pune +252 other locations,87,336
Bajaj Auto,Automobile ,3.8,14.6k,323,Pune +319 other locations,--,323
Macleods Pharmaceuticals,Pharma ,3.7,15.6k,268,Mumbai +134 other locations,6,268
Kogta Financial India Limited,NBFC ,4.7,1.8k,245,Jaipur +259 other locations,113,245
Aakash Educational Services,Education & Training ,3.2,13.8k,366,New Delhi +244 other locations,64,366
Jubilant Foods Works,Hospitality ,3.7,9.3k,250,New Delhi +263 other locations,199,250
LG Electronics,Consumer Electronics & Appliances ,3.9,11k,259,Pune +298 other locations,--,259
Hindalco Industries,Metals & Mining ,4.2,12.5k,300,Sambalpur +128 other locations,10,300
Royal Enfield,Automobile ,4.2,14.8k,201,Chennai +372 other locations,17,201
Jindal Steel Limited,Iron & Steel ,3.9,15.6k,414,Angul +174 other locations,26,414
John Deere,Industrial Machinery ,4.0,15.3k,267,Pune +156 other locations,1,267
Tata Communications,Telecom ,3.9,23.6k,300,Pune +102 other locations,212,300
DCB Bank,Banking ,3.8,9.5k,226,Mumbai +342 other locations,8,226
HDFC Ergo General Insurance,Insurance ,4.0,12.1k,197,Mumbai +326 other locations,11,197
State Street Corporation,Financial Services ,3.5,31.3k,284,Bangalore / Bengaluru +35 other locations,8,284
RBL Bank,Banking ,3.5,18.3k,237,Mumbai +284 other locations,55,237
Cummins,Industrial Machinery ,4.3,15.5k,282,Pune +115 other locations,3,282
Oyo Rooms,Internet ,3.1,14.3k,254,Gurgaon / Gurugram +122 other locations,128,254
Pidilite Industries,Chemicals ,4.2,11.5k,257,Mumbai +314 other locations,3,257
Alembic Pharmaceuticals,Pharma ,3.9,15.3k,253,Vadodara +186 other locations,65,253
Bank of America,Banking ,4.1,28.2k,285,Gurgaon / Gurugram +35 other locations,--,285
Reliance Communications,Telecom ,4.0,9.5k,106,Mumbai +468 other locations,--,106
Publicis Sapient,IT Services & Consulting ,3.4,30.9k,690,Bangalore / Bengaluru +46 other locations,267,690
Carelon Global Solutions,IT Services & Consulting ,3.9,26.7k,410,Bangalore / Bengaluru +21 other locations,26,410
Subros,Auto Components ,3.8,12.5k,217,Noida +89 other locations,1,217
American Express,Financial Services ,4.1,24.7k,423,Gurgaon / Gurugram +53 other locations,128,423
Viatris,Pharma ,4.1,14.2k,164,Hyderabad / Secunderabad +80 other locations,3,164
PVR INOX,Media & Entertainment ,3.9,9.4k,214,New Delhi +149 other locations,21,214
XpressBees,Logistics ,4.2,8.2k,442,Pune +476 other locations,11,442
PNB MetLife,Insurance ,3.4,8.1k,192,New Delhi +426 other locations,11,192
Automatic Data Processing (ADP),Software Product ,3.9,21.9k,290,Hyderabad / Secunderabad +40 other locations,49,290
Aditya Birla Sun Life Insurance,Insurance ,4.0,10k,178,Mumbai +488 other locations,--,178
Grasim Industries,Building Material ,4.0,12.6k,272,Bharuch +242 other locations,3,272
Kyndryl,IT Services & Consulting ,3.9,26.1k,224,Bangalore / Bengaluru +37 other locations,33,224
Aditya Birla Capital,NBFC ,3.8,14.2k,255,Mumbai +339 other locations,3,255
Escorts Kubota Limited,Automobile ,4.1,13.3k,296,Faridabad +155 other locations,6,296
Altruist Technologies,BPO ,4.4,8.2k,689,Bangalore / Bengaluru +44 other locations,9,689
Maersk,Logistics ,4.0,18.9k,247,Chennai +49 other locations,36,247
Synechron,IT Services & Consulting ,3.4,28k,403,Pune +32 other locations,86,403
Glenmark Pharmaceuticals,Pharma ,3.8,12.3k,178,Mumbai +185 other locations,125,178
Birlasoft,IT Services & Consulting ,3.5,29.8k,315,Pune +50 other locations,515,315
KPIT Technologies,Software Product ,3.0,23.1k,342,Pune +44 other locations,35,342
Sodexo,Facility Management Services ,4.0,9.7k,201,Mumbai +157 other locations,983,201
JK Cement,Building Material ,4.0,9.9k,331,New Delhi +329 other locations,1,331
Kotak Mahindara Life Insurance,Insurance ,3.5,12.6k,259,Mumbai +256 other locations,169,259
Dabur,FMCG ,3.8,8.8k,329,New Delhi +320 other locations,17,329
Godrej & Boyce Manufacturing,Consumer Electronics & Appliances ,3.9,15.1k,225,Mumbai +165 other locations,86,225
Bharat Electronics,Electronics Manufacturing ,4.2,12.5k,244,Bangalore / Bengaluru +87 other locations,--,244
Samvardhana Motherson Group,Auto Components ,3.7,12.1k,257,Noida +93 other locations,13,257
Cogent E Services,BPO ,3.2,10.3k,293,Noida +55 other locations,1,293
Abbott,Pharma ,4.1,11.8k,181,Mumbai +214 other locations,249,181
Aarti Industries,Agro Chemicals ,4.1,14.3k,328,Bharuch +58 other locations,16,328
Ipca Laboratories,Pharma ,3.8,11.5k,203,Mumbai +160 other locations,44,203
Reliance Projects & Property Management Services,Other ,4.0,7.3k,210,Kolkata +618 other locations,--,210
Indian Oil Corporation,Oil & Gas ,4.3,7.7k,234,New Delhi +310 other locations,--,234
MRF Tyres,Auto Components ,3.6,12.6k,370,Chennai +193 other locations,18,370
Cloudnine Hospital,Healthcare ,4.4,2.9k,1.1k,Bangalore / Bengaluru +46 other locations,4,1.1
Reliance Digital,Retail ,4.1,8.2k,167,Mumbai +378 other locations,2,167
Alkem Laboratories,Pharma ,3.9,9.8k,194,Mumbai +196 other locations,11,194
PhonePe,FinTech ,4.1,12.8k,413,Bangalore / Bengaluru +393 other locations,63,413
Johnson Controls,Industrial Automation ,3.5,17.5k,301,Pune +57 other locations,5,301
"NTT DATA, Inc.",IT Services & Consulting ,3.9,21.3k,152,Bangalore / Bengaluru +36 other locations,80,152
IGT Solutions,BPO ,3.2,13.6k,253,New Delhi +47 other locations,95,253
Honda Motorcycle & Scooter,Automobile ,4.1,11.1k,202,Gurgaon / Gurugram +298 other locations,--,202
UNO Minda,Auto Components ,3.9,11.2k,252,Pune +109 other locations,15,252
Vishal Mega Mart,Retail ,3.8,6.2k,205,New Delhi +377 other locations,4,205
ArcelorMittal Nippon Steel,Iron & Steel ,4.1,11.6k,270,Surat +85 other locations,--,270
Hindustan Coca Cola Beverages,Beverage ,4.0,7.6k,176,Bangalore / Bengaluru +260 other locations,46,176
24/7 Customer,Software Product ,3.4,11.5k,183,Bangalore / Bengaluru +36 other locations,64,183
DTDC Express,Logistics ,3.7,8.6k,194,New Delhi +270 other locations,19,194
UBS,Financial Services ,3.8,31.2k,370,Pune +19 other locations,2,370
Bajaj General Insurance Limited,Insurance ,3.7,10.9k,138,Pune +303 other locations,69,138
Ford Motor,Automobile ,4.2,15.2k,174,Chennai +131 other locations,1,174
Reliance Nippon Life Insurance,Insurance ,3.4,8.4k,167,Mumbai +483 other locations,3,167
Ceat Tyres,Auto Components ,3.9,12.9k,210,Nagpur +140 other locations,5,210
Blinkit,Internet ,3.8,12.4k,326,Gurgaon / Gurugram +145 other locations,--,326
ABB,Industrial Machinery ,4.1,17.8k,285,Bangalore / Bengaluru +107 other locations,1,285
RSPL Group,FMCG ,4.1,9.5k,254,Kanpur +256 other locations,26,254
HARMAN,Consumer Electronics & Appliances ,3.8,24k,291,Bangalore / Bengaluru +42 other locations,110,291
Barclays,Banking ,3.7,31.3k,312,Pune +36 other locations,--,312
AGS Health,Analytics & KPO ,4.0,14.2k,210,Chennai +63 other locations,34,210
NatWest Group,Banking ,4.0,20.8k,234,Gurgaon / Gurugram +29 other locations,107,234
TVS Credit Services Ltd,NBFC ,4.2,7.5k,156,Chennai +425 other locations,21,156
Niva Bupa Health Insurance Company,Insurance ,4.1,8.2k,374,New Delhi +319 other locations,102,374
InterGlobe Aviation,Aviation ,3.5,13.5k,367,New Delhi +104 other locations,87,367
Indian Air Force,Defence & Aerospace ,4.5,5.3k,81,New Delhi +134 other locations,--,81
Croma,Retail ,3.8,9k,183,Mumbai +193 other locations,28,183
Alstom Transportation,Engineering & Construction ,3.7,14.8k,276,Bangalore / Bengaluru +80 other locations,364,276
Conduent,BPO ,3.4,16.8k,231,Bangalore / Bengaluru +35 other locations,390,231
Tata Technologies,Engineering & Construction ,3.4,22.6k,306,Pune +55 other locations,115,306
GeBBS Healthcare Solutions,BPO ,3.7,11.3k,179,Mumbai +25 other locations,75,179
Allcargo Logistics,Logistics ,3.8,6.9k,138,Mumbai +175 other locations,19,138
Tata AIG,Insurance ,4.0,11.5k,191,Mumbai +260 other locations,80,191
Marpu Foundation,Non-Profit ,4.9,60,265,Hyderabad / Secunderabad +61 other locations,--,265
Max Healthcare,Healthcare ,3.9,10.3k,186,New Delhi +78 other locations,103,186
UPL,Agro Chemicals ,4.1,11.1k,217,Ankleshwar +186 other locations,47,217
Amazon Transportation Services,Logistics ,4.2,8.2k,254,Hyderabad / Secunderabad +228 other locations,1,254
PepsiCo,Food Processing ,4.1,13.3k,234,Hyderabad / Secunderabad +275 other locations,379,234
Titan Company,Retail ,4.2,9.5k,200,Bangalore / Bengaluru +184 other locations,79,200
Dilip Buildcon,Engineering & Construction ,3.9,8.1k,186,Bhopal +225 other locations,20,186
Walmart,Retail ,3.4,22.1k,437,Bangalore / Bengaluru +92 other locations,211,437
